fotmob_player_id,sportsapi_player_id,player_name,team_name,competition_name,season_name,tournament_id,season_id,heatmap_key,activity_filter,in_box_ratio,out_box_final_ratio,mid_third_ratio,final_third_ratio,sample_points,generated_at
167008,48480,Pascal Groß,,Bundesliga,2025/2026,35,77333,167008:35:77333,cluster-v1,1,30,69,31,353,2026-08-08T00:42:58.846662+00:00
921197,893962,Lennard Maloney,,Bundesliga,2025/2026,35,77333,921197:35:77333,cluster-v1,0,16,84,16,64,2026-08-08T00:43:00.850871+00:00
1646629,1864786,Salim Musah,,Bundesliga,2025/2026,35,77333,1646629:35:77333,cluster-v1,50,20,30,70,10,2026-08-08T00:43:02.662067+00:00
469701,341589,Mahmoud Dahoud,,Bundesliga,2025/2026,35,77333,469701:35:77333,cluster-v1,1,19,80,20,289,2026-08-08T00:43:04.630146+00:00
1286183,1129935,Tom Bischof,,Bundesliga,2025/2026,35,77333,1286183:35:77333,cluster-v1,1,39,60,40,920,2026-08-08T00:43:06.747286+00:00
1366006,1083410,Umut Tohumcu,,Bundesliga,2025/2026,35,77333,1366006:35:77333,cluster-v1,0,0,100,0,3,2026-08-08T00:43:15.020101+00:00
1353000,1180758,Adam Daghim,,Bundesliga,2025/2026,35,77333,1353000:35:77333,cluster-v1,11,48,41,59,484,2026-08-08T00:43:18.454978+00:00
812839,861850,Martijn Kaars,,Bundesliga,2025/2026,35,77333,812839:35:77333,cluster-v1,12,41,47,53,288,2026-08-08T00:43:20.426621+00:00
949673,927405,Woo-Yeong Jeong,,Bundesliga,2025/2026,35,77333,949673:35:77333,cluster-v1,3,51,46,54,301,2026-08-08T00:43:22.549897+00:00
1680173,1898148,Ayoube Amaimouni Echghouyab,,Bundesliga,2025/2026,35,77333,1680173:35:77333,cluster-v1,9,56,35,65,195,2026-08-08T00:43:24.549648+00:00
1027194,978062,Alexander Prass,,Bundesliga,2025/2026,35,77333,1027194:35:77333,cluster-v1,4,43,53,47,521,2026-08-08T00:43:26.706279+00:00
958335,947929,Jesper Lindstrøm,,Bundesliga,2025/2026,35,77333,958335:35:77333,cluster-v1,0,78,22,78,58,2026-08-08T00:43:28.506179+00:00
1526221,1508537,Cyriaque Irié,,Bundesliga,2025/2026,35,77333,1526221:35:77333,cluster-v1,0,28,72,28,68,2026-08-08T00:43:33.577612+00:00
1089870,994529,Ricky-Jade Jones,,Bundesliga,2025/2026,35,77333,1089870:35:77333,cluster-v1,18,55,27,73,22,2026-08-08T00:43:35.362178+00:00
673432,800400,Sirlord Conteh,,Bundesliga,2025/2026,35,77333,673432:35:77333,cluster-v1,4,43,53,47,73,2026-08-08T00:43:37.167605+00:00
458630,254297,Ihlas Bebou,,Bundesliga,2025/2026,35,77333,458630:35:77333,cluster-v1,0,100,0,100,7,2026-08-08T00:43:39.014695+00:00
1666019,1546267,Fabio Baldé,,Bundesliga,2025/2026,35,77333,1666019:35:77333,cluster-v1,5,39,56,44,66,2026-08-08T00:43:40.902839+00:00
1073498,987504,Patrick Wimmer,,Bundesliga,2025/2026,35,77333,1073498:35:77333,cluster-v1,4,43,53,47,722,2026-08-08T00:43:42.920052+00:00
1793874,1995809,Wael Mohya,,Bundesliga,2025/2026,35,77333,1793874:35:77333,cluster-v1,16,26,58,42,120,2026-08-08T00:43:44.843221+00:00
1185568,975800,Benedict Hollerbach,,Bundesliga,2025/2026,35,77333,1185568:35:77333,cluster-v1,15,51,34,66,295,2026-08-08T00:43:46.796527+00:00
725398,831400,Mathias Pereira Lage,,Bundesliga,2025/2026,35,77333,725398:35:77333,cluster-v1,8,39,53,47,724,2026-08-08T00:43:48.835240+00:00
495222,352544,Sheraldo Becker,,Bundesliga,2025/2026,35,77333,495222:35:77333,cluster-v1,19,64,17,83,147,2026-08-08T00:43:50.676020+00:00
1175708,997012,Ansgar Knauff,,Bundesliga,2025/2026,35,77333,1175708:35:77333,cluster-v1,13,57,30,70,457,2026-08-08T00:43:54.513515+00:00
1146376,1067120,Eren Dinkçi,,Bundesliga,2025/2026,35,77333,1146376:35:77333,cluster-v1,3,36,61,39,387,2026-08-08T00:43:59.024893+00:00
658440,800252,Tim Skarke,,Bundesliga,2025/2026,35,77333,658440:35:77333,cluster-v1,6,42,52,48,96,2026-08-08T00:44:11.431473+00:00
674499,794995,Niklas Dorsch,,Bundesliga,2025/2026,35,77333,674499:35:77333,cluster-v1,1,16,83,17,847,2026-08-08T00:44:13.955752+00:00
423812,138126,Phillipp Mwene,,Bundesliga,2025/2026,35,77333,423812:35:77333,cluster-v1,6,46,48,52,575,2026-08-08T00:44:16.217700+00:00
1112702,971481,Arkadiusz Pyrka,,Bundesliga,2025/2026,35,77333,1112702:35:77333,cluster-v1,4,43,53,47,802,2026-08-08T00:44:18.340967+00:00
602523,569784,Maximilian Eggestein,,Bundesliga,2025/2026,35,77333,602523:35:77333,cluster-v1,4,20,76,24,1282,2026-08-08T00:44:20.808287+00:00
275034,157377,Silvan Widmer,,Bundesliga,2025/2026,35,77333,275034:35:77333,cluster-v1,8,39,53,47,550,2026-08-08T00:44:22.827703+00:00
613260,789192,Jean-Luc Dompé,,Bundesliga,2025/2026,35,77333,613260:35:77333,cluster-v1,9,57,34,66,333,2026-08-08T00:44:24.845162+00:00
860260,886737,Derrick Köhn,,Bundesliga,2025/2026,35,77333,860260:35:77333,cluster-v1,3,44,53,47,588,2026-08-08T00:44:26.954868+00:00
1156141,1010231,Jamal Musiala,,Bundesliga,2025/2026,35,77333,1156141:35:77333,cluster-v1,15,59,26,74,318,2026-08-08T00:44:28.845309+00:00
490489,168987,Robert Glatzel,,Bundesliga,2025/2026,35,77333,490489:35:77333,cluster-v1,14,48,38,62,101,2026-08-08T00:44:30.652111+00:00
248689,147745,Michy Batshuayi,,Bundesliga,2025/2026,35,77333,248689:35:77333,cluster-v1,0,0,100,0,3,2026-08-08T00:44:32.308576+00:00
276739,95381,Kevin Stöger,,Bundesliga,2025/2026,35,77333,276739:35:77333,cluster-v1,1,30,69,31,741,2026-08-08T00:44:34.534915+00:00
1302666,1131002,Derry Scherhant,,Bundesliga,2025/2026,35,77333,1302666:35:77333,cluster-v1,15,47,38,62,419,2026-08-08T00:44:40.010135+00:00
909907,916176,Cameron Puertas,,Bundesliga,2025/2026,35,77333,909907:35:77333,cluster-v1,4,31,65,35,956,2026-08-08T00:44:42.147459+00:00
1024292,815612,Marco Grüll,,Bundesliga,2025/2026,35,77333,1024292:35:77333,cluster-v1,6,50,44,56,839,2026-08-08T00:44:44.365871+00:00
1520506,1513469,Livan Burcu,,Bundesliga,2025/2026,35,77333,1520506:35:77333,cluster-v1,4,57,39,61,187,2026-08-08T00:44:46.249720+00:00
1388070,1153265,Badredine Bouanani,,Bundesliga,2025/2026,35,77333,1388070:35:77333,cluster-v1,3,69,28,72,176,2026-08-08T00:44:48.007850+00:00
215151,133908,Marcel Sabitzer,,Bundesliga,2025/2026,35,77333,215151:35:77333,cluster-v1,2,31,67,33,734,2026-08-08T00:44:50.085076+00:00
1659893,1888501,Abdoulie Ceesay,,Bundesliga,2025/2026,35,77333,1659893:35:77333,cluster-v1,25,58,17,83,59,2026-08-08T00:44:51.954701+00:00
770136,846445,Martin Terrier,,Bundesliga,2025/2026,35,77333,770136:35:77333,cluster-v1,18,42,40,60,137,2026-08-08T00:44:53.919144+00:00
1486541,1418623,Assan Ouédraogo,,Bundesliga,2025/2026,35,77333,1486541:35:77333,cluster-v1,9,31,60,40,272,2026-08-08T00:45:03.456206+00:00
1191741,1005834,Armindo Sieb,,Bundesliga,2025/2026,35,77333,1191741:35:77333,cluster-v1,21,51,28,72,127,2026-08-08T00:45:05.346486+00:00
1453218,1390682,Mert Kömür,,Bundesliga,2025/2026,35,77333,1453218:35:77333,cluster-v1,8,45,47,53,580,2026-08-08T00:45:07.380650+00:00
1134467,1020422,Yuito Suzuki,,Bundesliga,2025/2026,35,77333,1134467:35:77333,cluster-v1,6,46,48,52,441,2026-08-08T00:45:09.248379+00:00
1185902,1019312,Jens Castrop,,Bundesliga,2025/2026,35,77333,1185902:35:77333,cluster-v1,7,37,56,44,551,2026-08-08T00:45:11.572170+00:00
556524,280009,Lucas Höler,,Bundesliga,2025/2026,35,77333,556524:35:77333,cluster-v1,13,30,57,43,728,2026-08-08T00:45:13.821187+00:00
1213430,979315,Elye Wahi,,Bundesliga,2025/2026,35,77333,1213430:35:77333,cluster-v1,11,35,54,46,26,2026-08-08T00:45:16.054763+00:00
693599,822600,Exequiel Palacios,,Bundesliga,2025/2026,35,77333,693599:35:77333,cluster-v1,0,27,73,27,923,2026-08-08T00:45:18.025211+00:00
919742,826171,Senne Lynen,,Bundesliga,2025/2026,35,77333,919742:35:77333,cluster-v1,0,20,80,20,1179,2026-08-08T00:45:20.441604+00:00
1199283,988639,Eric Martel,,Bundesliga,2025/2026,35,77333,1199283:35:77333,cluster-v1,4,14,82,18,1080,2026-08-08T00:45:22.593273+00:00
