fotmob_player_id,player_name,competition_name,season_name,heatmap_key,reason
783581,Martin Miller,UEFA Europa Conference League,2021/2022,783581:17015:37074,snapshot_missing
1042020,Gulzhigit Alykulov,UEFA Europa Conference League,2021/2022,1042020:17015:37074,snapshot_missing
2130462,Pape Diop,Ligue 1,2025/2026,2130462:34:77356,snapshot_missing
1082102,Igor Jesus,UEFA Europa League,2025/2026,1082102:679:76984,snapshot_missing
1655748,Vinícius Souza,LaLiga,2022/2023,1655748:8:42409,snapshot_missing
974753,Julián Alvarez,UEFA Champions League,2022/2023,974753:7:41897,snapshot_missing
900433,Khvicha Kvaratskhelia,UEFA Champions League,2022/2023,900433:7:41897,snapshot_missing
1089731,Pedro Gonçalves,UEFA Champions League,2022/2023,1089731:7:41897,snapshot_missing
1035208,Victor Okoh Boniface,UEFA Europa League,2022/2023,1035208:679:44509,snapshot_missing
1061249,Vitinha,UEFA Europa League,2022/2023,1061249:679:44509,snapshot_missing
1089731,Pedro Gonçalves,UEFA Europa League,2022/2023,1089731:679:44509,snapshot_missing
1176214,Luiz Henrique,UEFA Europa League,2022/2023,1176214:679:44509,snapshot_missing
631369,Santeri Hostikka,UEFA Europa League,2022/2023,631369:679:44509,snapshot_missing
837064,Hugo Vetlesen,UEFA Europa League,2022/2023,837064:679:44509,snapshot_missing
530635,Patrick Berg,UEFA Europa League,2022/2023,530635:679:44509,snapshot_missing
1368557,Gift Orban,UEFA Europa Conference League,2022/2023,1368557:17015:42224,snapshot_missing
837066,Ola Brynhildsen,UEFA Europa Conference League,2022/2023,837066:17015:42224,snapshot_missing
200267,Gustav Wikheim,UEFA Europa Conference League,2022/2023,200267:17015:42224,snapshot_missing
748381,Joel Asoro,UEFA Europa Conference League,2022/2023,748381:17015:42224,snapshot_missing
848295,Emmanuel Banda,UEFA Europa Conference League,2022/2023,848295:17015:42224,snapshot_missing
1185309,Malik Abubakari,UEFA Europa Conference League,2022/2023,1185309:17015:42224,snapshot_missing
962795,Emil Breivik,UEFA Europa Conference League,2022/2023,962795:17015:42224,snapshot_missing
664731,Fabien Ourega,UEFA Europa Conference League,2022/2023,664731:17015:42224,snapshot_missing
1207581,David Datro Fofana,UEFA Europa Conference League,2022/2023,1207581:17015:42224,snapshot_missing
49289,Haris Radetinac,UEFA Europa Conference League,2022/2023,49289:17015:42224,snapshot_missing
679352,Francis Kyeremeh,UEFA Europa Conference League,2022/2023,679352:17015:42224,snapshot_missing
504033,Milan Gajić,UEFA Europa Conference League,2022/2023,504033:17015:42224,snapshot_missing
185389,Magnus Wolff Eikrem,UEFA Europa Conference League,2022/2023,185389:17015:42224,snapshot_missing
1168520,Mayckel Lahdo,UEFA Europa Conference League,2022/2023,1168520:17015:42224,snapshot_missing
916335,Hampus Finndell,UEFA Europa Conference League,2022/2023,916335:17015:42224,snapshot_missing
118142,Rasmus Schüller,UEFA Europa Conference League,2022/2023,118142:17015:42224,snapshot_missing
570772,Sean Kavanagh,UEFA Europa Conference League,2022/2023,570772:17015:42224,snapshot_missing
658222,Victor Edvardsen,UEFA Europa Conference League,2022/2023,658222:17015:42224,snapshot_missing
1369689,Justin Ferizaj,UEFA Europa Conference League,2022/2023,1369689:17015:42224,snapshot_missing
547710,Adama Traoré,Premier League,2022/2023,547710:17:41886,snapshot_missing
1061249,Vitinha,Serie A,2024/2025,1061249:23:63515,snapshot_missing
315032,Simon Hedlund,UEFA Europa League,2024/2025,315032:679:61645,snapshot_missing
41171,Marcus Pedersen,Eredivisie,2021/2022,41171:37:36890,snapshot_missing
1089731,Pedro Gonçalves,Primeira Liga,2021/2022,1089731:238:37358,snapshot_missing
388523,André Silva,Primeira Liga,2021/2022,388523:238:37358,snapshot_missing
648362,Felipe Pires,Primeira Liga,2021/2022,648362:238:37358,snapshot_missing
1521239,Hélder Ferreira,Primeira Liga,2021/2022,1521239:238:37358,snapshot_missing
41171,Marcus Pedersen,Eredivisie,2022/2023,41171:37:42256,snapshot_missing
1089731,Pedro Gonçalves,Primeira Liga,2022/2023,1089731:238:42655,snapshot_missing
388523,André Silva,Primeira Liga,2022/2023,388523:238:42655,snapshot_missing
1089731,Pedro Gonçalves,Primeira Liga,2023/2024,1089731:238:52769,snapshot_missing
388523,André Silva,Primeira Liga,2023/2024,388523:238:52769,snapshot_missing
118237,Vinícius Lopes,Primeira Liga,2024/2025,118237:238:63670,snapshot_missing
1089731,Pedro Gonçalves,Primeira Liga,2024/2025,1089731:238:63670,snapshot_missing
1693593,Pablo Felipe,Primeira Liga,2024/2025,1693593:238:63670,snapshot_missing
174531,Dudu,Primeira Liga,2024/2025,174531:238:63670,snapshot_missing
1328484,Gabriel Martínez,Primeira Liga,2024/2025,1328484:238:63670,snapshot_missing
165262,Joel Silva,Primeira Liga,2024/2025,165262:238:63670,snapshot_missing
1089731,Pedro Gonçalves,Primeira Liga,2025/2026,1089731:238:77806,snapshot_missing
1693593,Pablo Felipe,Primeira Liga,2025/2026,1693593:238:77806,snapshot_missing
118237,Vinícius Lopes,Primeira Liga,2025/2026,118237:238:77806,snapshot_missing
1708430,José Tavares,Primeira Liga,2025/2026,1708430:238:77806,snapshot_missing
165262,Joel Silva,Primeira Liga,2025/2026,165262:238:77806,snapshot_missing
1328484,Gabriel Martínez,Primeira Liga,2025/2026,1328484:238:77806,snapshot_missing
521912,Nenê,Primeira Liga,2025/2026,521912:238:77806,snapshot_missing
1127007,Chiquinho,UEFA Champions League,2025/2026,1127007:7:76953,snapshot_missing
1174630,Richard Ríos,UEFA Champions League,2025/2026,1174630:7:76953,snapshot_missing
974755,Lucas Beltrán,UEFA Europa Conference League,2023/2024,974755:17015:52327,snapshot_missing
1655748,Vinícius Souza,Belgian Pro League,2021/2022,1655748:38:36894,invalid_player_mapping
1650431,Ally Samatta,Belgian Pro League,2021/2022,1650431:38:36894,source_history_unavailable
967065,Habib Gueye,Belgian Pro League,2021/2022,967065:38:36894,source_history_unavailable
1650431,Ally Samatta,Belgian Pro League,2022/2023,1650431:38:42404,source_history_unavailable
967065,Habib Gueye,Belgian Pro League,2022/2023,967065:38:42404,source_history_unavailable
